sentence_id,text,entity,label,start,end
25,"A rare early handwritten draft of a song by U.S. guitar legend Jimi Hendrix was sold for almost $ 17,000 on Thursday at an auction of some of the late musician 's favourite possessions .",Jimi Hendrix,PERSON,63,75
26,"A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" Ai n't no telling "" , which Hendrix penned on a piece of London hotel stationery in late 1966 .",A Florida,PERSON,0,9
26,"A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" Ai n't no telling "" , which Hendrix penned on a piece of London hotel stationery in late 1966 .",London,GPE,129,135
28,"Buyers also snapped up 16 other items that were put up for auction by Hendrix 's former girlfriend Kathy Etchingham , who lived with him from 1966 to 1969 .",Kathy Etchingham,PERSON,99,115
34,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,Taiwan Strait,PERSON,97,110
34,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,Taiwanese Vice,PERSON,138,152
34,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,President Lien,PERSON,153,167
35,"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . """,Foreign Ministry,PERSON,113,129
35,"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . """,Shen Guofang,PERSON,140,152
36,"State media quoted China 's top negotiator with Taipei , Tang Shubei , as telling a visiting group from Taiwan on Wednesday that it was time for the rivals to hold political talks .",Tang Shubei,PERSON,57,68
39,"The foreign ministry 's Shen told Reuters Television in an interview he had read reports of Tang 's comments but gave no details of why the negotiator had considered the time right for talks with Taiwan , which Beijing considers a renegade province .",Reuters Television,PERSON,34,52
40,"China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .",Taiwanese Vice,PERSON,144,158
40,"China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .",President Lien,PERSON,159,173
45,"Consultations should be held to set the time and format of the talks , the official Xinhua news agency quoted Tang Shubei , executive vice chairman of the Association for Relations Across the Taiwan Straits , as saying late on Wednesday .",Tang Shubei,PERSON,110,121
45,"Consultations should be held to set the time and format of the talks , the official Xinhua news agency quoted Tang Shubei , executive vice chairman of the Association for Relations Across the Taiwan Straits , as saying late on Wednesday .",Relations Across,PERSON,171,187
45,"Consultations should be held to set the time and format of the talks , the official Xinhua news agency quoted Tang Shubei , executive vice chairman of the Association for Relations Across the Taiwan Straits , as saying late on Wednesday .",Taiwan Straits,PERSON,192,206
47,German July car registrations up 14.2 pct yr / yr .,German July,PERSON,0,11
56,"Opel AG together with General Motors came in second place with 49,269 registrations , 16.4 percent of the overall figure .",General Motors,PERSON,22,36
58,Only Seat and Porsche had fewer registrations in July 1996 compared to last year 's July .,Only Seat,PERSON,0,9
64,"The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .",The Greek,PERSON,0,9
64,"The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .",Prime Minister,PERSON,70,84
64,"The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .",Costas Simitis,PERSON,85,99
64,"The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .",Costas Skandalidis,PERSON,147,165
65,"Prime Minister Costas Simitis is going to make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .",Prime Minister,PERSON,0,14
65,"Prime Minister Costas Simitis is going to make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .",Costas Simitis,PERSON,15,29
66,"-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4",Dimitris Kontogiannis,PERSON,3,24
66,"-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4",Athens Newsroom,PERSON,27,42
70,The following bond was announced by lead manager Toronto Dominion .,Toronto Dominion,PERSON,49,65
82,-- London Newsroom +44 171 542 7658,London Newsroom,PERSON,3,18
86,The following floating-rate issue was announced by lead manager Lehman Brothers International .,Lehman Brothers,PERSON,64,79
98,-- London Newsroom +44 171 542 8863,London Newsroom,PERSON,3,18
100,Port conditions update - Syria - Lloyds Shipping .,Lloyds Shipping,PERSON,33,48
101,Port conditions from Lloyds Shipping Intelligence Service --,Lloyds Shipping,PERSON,21,36
101,Port conditions from Lloyds Shipping Intelligence Service --,Intelligence Service,PERSON,37,57
105,Colleen Siegel,Colleen Siegel,PERSON,0,14
108,"Itamar Rabinovich , who as Israel 's ambassador to Washington conducted unfruitful negotiations with Syria , told Israel Radio it looked like Damascus wanted to talk rather than fight .",Itamar Rabinovich,PERSON,0,17
108,"Itamar Rabinovich , who as Israel 's ambassador to Washington conducted unfruitful negotiations with Syria , told Israel Radio it looked like Damascus wanted to talk rather than fight .",Israel Radio,PERSON,114,126
110,"The Syrians are confused , they are definitely tense , but the general assessment here in Washington is that this is essentially a storm in a teacup , "" he said .",The Syrians,PERSON,0,11
112,"He will be replaced by Eliahu Ben-Elissar , a former Israeli envoy to Egypt and right-wing Likud party politician .",Eliahu Ben,PERSON,23,33
117,""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .",Syrian President,PERSON,32,48
117,""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .",Israeli Foreign,PERSON,157,172
117,""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .",Minister David,PERSON,173,187
117,""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .",Israel Radio,PERSON,198,210
118,Tension has mounted since Israeli Prime Minister Benjamin Netanyahu took office in June vowing to retain the Golan Heights Israel captured from Syria in the 1967 Middle East war .,Israeli Prime,PERSON,26,39
118,Tension has mounted since Israeli Prime Minister Benjamin Netanyahu took office in June vowing to retain the Golan Heights Israel captured from Syria in the 1967 Middle East war .,Minister Benjamin,PERSON,40,57
118,Tension has mounted since Israeli Prime Minister Benjamin Netanyahu took office in June vowing to retain the Golan Heights Israel captured from Syria in the 1967 Middle East war .,Golan Heights,PERSON,109,122
118,Tension has mounted since Israeli Prime Minister Benjamin Netanyahu took office in June vowing to retain the Golan Heights Israel captured from Syria in the 1967 Middle East war .,Middle East,PERSON,162,173
128,"Israel 's Channel Two television said Damascus had sent a "" calming signal "" to Israel .",Channel Two,PERSON,10,21
131,"The television also said that Netanyahu had sent messages to reassure Syria via Cairo , the United States and Moscow .",United States,PERSON,92,105
135,A Polish diplomat on Thursday denied a Polish tabloid report this week that Libya was refusing exit visas to 100 Polish nurses trying to return home after working in the North African country .,A Polish,PERSON,0,8
135,A Polish diplomat on Thursday denied a Polish tabloid report this week that Libya was refusing exit visas to 100 Polish nurses trying to return home after working in the North African country .,North African,PERSON,170,183
137,"Up to today , we have no knowledge of any nurse stranded or kept in Libya without her will , and we have not received any complaint , "" the Polish embassy 's charge d'affaires in Tripoli , Tadeusz Awdankiewicz , told Reuters by telephone .",Tadeusz Awdankiewicz,PERSON,189,209
141,Two Iranian opposition leaders meet in Baghdad .,Two Iranian,PERSON,0,11
142,Hassan Hafidh,Hassan Hafidh,PERSON,0,13
144,An Iranian exile group based in Iraq vowed on Thursday to extend support to Iran 's Kurdish rebels after they were attacked by Iranian troops deep inside Iraq last month .,An Iranian,PERSON,0,10
145,A Mujahideen Khalq statement said its leader Massoud Rajavi met in Baghdad the Secretary-General of the Kurdistan Democratic Party of Iran ( KDPI ) Hassan Rastegar on Wednesday and voiced his support to Iran 's rebel Kurds .,A Mujahideen,PERSON,0,12
145,A Mujahideen Khalq statement said its leader Massoud Rajavi met in Baghdad the Secretary-General of the Kurdistan Democratic Party of Iran ( KDPI ) Hassan Rastegar on Wednesday and voiced his support to Iran 's rebel Kurds .,Massoud Rajavi,PERSON,45,59
145,A Mujahideen Khalq statement said its leader Massoud Rajavi met in Baghdad the Secretary-General of the Kurdistan Democratic Party of Iran ( KDPI ) Hassan Rastegar on Wednesday and voiced his support to Iran 's rebel Kurds .,Kurdistan Democratic,PERSON,104,124
145,A Mujahideen Khalq statement said its leader Massoud Rajavi met in Baghdad the Secretary-General of the Kurdistan Democratic Party of Iran ( KDPI ) Hassan Rastegar on Wednesday and voiced his support to Iran 's rebel Kurds .,Hassan Rastegar,PERSON,148,163
146,""" Rajavi emphasised that the Iranian Resistance would continue to stand side by side with their Kurdish compatriots and the resistance movement in Iranian Kurdistan , "" it said .",Iranian Resistance,PERSON,29,47
146,""" Rajavi emphasised that the Iranian Resistance would continue to stand side by side with their Kurdish compatriots and the resistance movement in Iranian Kurdistan , "" it said .",Iranian Kurdistan,PERSON,147,164
147,"A spokesman for the group said the meeting "" signals a new level of cooperation between Mujahideen Khalq and the Iranian Kurdish oppositions "" .",Mujahideen Khalq,PERSON,88,104
147,"A spokesman for the group said the meeting "" signals a new level of cooperation between Mujahideen Khalq and the Iranian Kurdish oppositions "" .",Iranian Kurdish,PERSON,113,128
148,Iran heavily bombarded targets in northern Iraq in July in pursuit of KDPI guerrillas based in Iraqi Kurdish areas outside the control of the government in Baghdad .,Iraqi Kurdish,PERSON,95,108
149,Iraqi Kurdish areas bordering Iran are under the control of guerrillas of the Iraqi Kurdish Patriotic Union of Kurdistan ( PUK ) group .,Iraqi Kurdish,PERSON,0,13
149,Iraqi Kurdish areas bordering Iran are under the control of guerrillas of the Iraqi Kurdish Patriotic Union of Kurdistan ( PUK ) group .,Iraqi Kurdish,PERSON,78,91
149,Iraqi Kurdish areas bordering Iran are under the control of guerrillas of the Iraqi Kurdish Patriotic Union of Kurdistan ( PUK ) group .,Patriotic Union,PERSON,92,107
150,"PUK and Iraq 's Kurdistan Democratic Party ( KDP ) the two main Iraqi Kurdish factions , have had northern Iraq under their control since Iraqi forces were ousted from Kuwait in the 1991 Gulf War .",Kurdistan Democratic,PERSON,16,36
150,"PUK and Iraq 's Kurdistan Democratic Party ( KDP ) the two main Iraqi Kurdish factions , have had northern Iraq under their control since Iraqi forces were ousted from Kuwait in the 1991 Gulf War .",Iraqi Kurdish,PERSON,64,77
150,"PUK and Iraq 's Kurdistan Democratic Party ( KDP ) the two main Iraqi Kurdish factions , have had northern Iraq under their control since Iraqi forces were ousted from Kuwait in the 1991 Gulf War .",Gulf War,PERSON,187,195
152,Mujahideen Khalq said Iranian troops had also been shelling KDP positions in Qasri region in Suleimaniya province near the Iranian border over the last two days .,Mujahideen Khalq,PERSON,0,16
153,It said about 100 Iraqi Kurds were killed or wounded in the attack .,Iraqi Kurds,PERSON,18,29
154,Both Iran and Turkey mount air and land strikes at targets in northern Iraq in pursuit of their own Kurdish rebels .,Both Iran,PERSON,0,9
155,A U.S.-led air force in southern Turkey protects Iraqi Kurds from possible attacks by Baghdad troops .,Iraqi Kurds,PERSON,49,60
166,Israel approves Arafat 's flight to West Bank .,West Bank,PERSON,36,45
168,"Israel gave Palestinian President Yasser Arafat permission on Thursday to fly over its territory to the West Bank , ending a brief Israeli-PLO crisis , an Arafat adviser said .",Palestinian President,PERSON,12,33
168,"Israel gave Palestinian President Yasser Arafat permission on Thursday to fly over its territory to the West Bank , ending a brief Israeli-PLO crisis , an Arafat adviser said .",Yasser Arafat,PERSON,34,47
168,"Israel gave Palestinian President Yasser Arafat permission on Thursday to fly over its territory to the West Bank , ending a brief Israeli-PLO crisis , an Arafat adviser said .",West Bank,PERSON,104,113
170,"The president 's aircraft has received permission to pass through Israeli airspace but the president is not expected to travel to the West Bank before Monday , "" Nabil Abu Rdainah told Reuters .",West Bank,PERSON,134,143
170,"The president 's aircraft has received permission to pass through Israeli airspace but the president is not expected to travel to the West Bank before Monday , "" Nabil Abu Rdainah told Reuters .",Nabil Abu,PERSON,162,171
171,Arafat had been scheduled to meet former Israeli prime minister Shimon Peres in the West Bank town of Ramallah on Thursday but the venue was changed to Gaza after Israel denied flight clearance to the Palestinian leader 's helicopters .,Shimon Peres,PERSON,64,76
171,Arafat had been scheduled to meet former Israeli prime minister Shimon Peres in the West Bank town of Ramallah on Thursday but the venue was changed to Gaza after Israel denied flight clearance to the Palestinian leader 's helicopters .,West Bank,PERSON,84,93
172,Palestinian officials accused right-wing Prime Minister Benjamin Netanyahu of trying to stop the Ramallah meeting by keeping Arafat grounded .,Prime Minister,PERSON,41,55
172,Palestinian officials accused right-wing Prime Minister Benjamin Netanyahu of trying to stop the Ramallah meeting by keeping Arafat grounded .,Benjamin Netanyahu,PERSON,56,74
173,"Arafat subsequently cancelled a meeting between Israeli and PLO officials , on civilian affairs , at the Allenby Bridge crossing between Jordan and the West Bank .",Allenby Bridge,PERSON,105,119
173,"Arafat subsequently cancelled a meeting between Israeli and PLO officials , on civilian affairs , at the Allenby Bridge crossing between Jordan and the West Bank .",West Bank,PERSON,152,161
174,"Abu Rdainah said Arafat had decided against flying to the West Bank on Thursday , after Israel lifted the ban , because he had a busy schedule in Gaza and would not be free until Monday .",Abu Rdainah,PERSON,0,11
174,"Abu Rdainah said Arafat had decided against flying to the West Bank on Thursday , after Israel lifted the ban , because he had a busy schedule in Gaza and would not be free until Monday .",West Bank,PERSON,58,67
178,Yasser Arafat will meet Shimon Peres in Gaza on Thursday after Palestinians said the right-wing Israeli government had barred the Palestinian leader from flying to the West Bank for talks with the former prime minister .,Yasser Arafat,PERSON,0,13
178,Yasser Arafat will meet Shimon Peres in Gaza on Thursday after Palestinians said the right-wing Israeli government had barred the Palestinian leader from flying to the West Bank for talks with the former prime minister .,Shimon Peres,PERSON,24,36
178,Yasser Arafat will meet Shimon Peres in Gaza on Thursday after Palestinians said the right-wing Israeli government had barred the Palestinian leader from flying to the West Bank for talks with the former prime minister .,West Bank,PERSON,168,177
180,Palestinian officials said the Israeli government had barred Arafat from overflying Israel in a Palestinian helicopter to the West Bank in an attempt to bar the meeting with Peres .,West Bank,PERSON,126,135
181,"Israeli Prime Minister Benjamin Netanyahu has accused opposition leader Peres , who he defeated in May elections , of trying to undermine his Likud government 's authority to conduct peace talks .",Israeli Prime,PERSON,0,13
181,"Israeli Prime Minister Benjamin Netanyahu has accused opposition leader Peres , who he defeated in May elections , of trying to undermine his Likud government 's authority to conduct peace talks .",Minister Benjamin,PERSON,14,31
184,Hilary Gush,Hilary Gush,PERSON,0,11
186,"Three Afghan guards brought to the United Arab Emirates last week by Russian hostages who escaped from the Taleban militia will return to Afghanistan in a few days , the Afghan embassy in Abu Dhabi said on Thursday .",Three Afghan,PERSON,0,12
186,"Three Afghan guards brought to the United Arab Emirates last week by Russian hostages who escaped from the Taleban militia will return to Afghanistan in a few days , the Afghan embassy in Abu Dhabi said on Thursday .",United Arab,PERSON,35,46
186,"Three Afghan guards brought to the United Arab Emirates last week by Russian hostages who escaped from the Taleban militia will return to Afghanistan in a few days , the Afghan embassy in Abu Dhabi said on Thursday .",Abu Dhabi,PERSON,188,197
191,The three Islamic Taleban guards were overpowered by seven Russian aircrew who escaped to UAE state Sharjah last Friday on board their own aircraft after a year in the captivity of Taleban militia in Kandahar in southern Afghanistan .,Islamic Taleban,PERSON,10,25
192,"The UAE said on Monday it would hand over the three to the International Red Crescent , possibly last Tuesday .",International Red,PERSON,59,76
196,"Kabul is controlled by President Burhanuddin Rabbani 's government , which Taleban is fighting to overthrow .",President Burhanuddin,PERSON,23,44
197,"The embassy official said the three men , believed to be in their 20s , were currently in Abu Dhabi .",Abu Dhabi,PERSON,90,99
199,"The Russians , working for the Aerostan firm in the Russian republic of Tatarstan , were taken hostage after a Taleban MiG-19 fighter forced their cargo plane to land in August 1995 .",The Russians,PERSON,0,12
203,"The Russians , who said they overpowered the guards -- two armed with Kalashnikov automatic rifles -- while doing regular maintenance work on their Ilyushin 76 cargo plane last Friday , left the UAE capital Abu Dhabi for home on Sunday .",The Russians,PERSON,0,12
203,"The Russians , who said they overpowered the guards -- two armed with Kalashnikov automatic rifles -- while doing regular maintenance work on their Ilyushin 76 cargo plane last Friday , left the UAE capital Abu Dhabi for home on Sunday .",Abu Dhabi,PERSON,207,216
207,"Iraqi President Saddam Hussein has told visiting Russian ultra-nationalist Vladimir Zhirinovsky that Baghdad wanted to maintain "" friendship and cooperation "" with Moscow , official Iraqi newspapers said on Thursday .",Iraqi President,PERSON,0,15
207,"Iraqi President Saddam Hussein has told visiting Russian ultra-nationalist Vladimir Zhirinovsky that Baghdad wanted to maintain "" friendship and cooperation "" with Moscow , official Iraqi newspapers said on Thursday .",Saddam Hussein,PERSON,16,30
207,"Iraqi President Saddam Hussein has told visiting Russian ultra-nationalist Vladimir Zhirinovsky that Baghdad wanted to maintain "" friendship and cooperation "" with Moscow , official Iraqi newspapers said on Thursday .",Vladimir Zhirinovsky,PERSON,75,95
208,""" President Saddam Hussein stressed during the meeting Iraq 's keenness to maintain friendship and cooperation with Russia , "" the papers said .",President Saddam,PERSON,2,18
209,"They said Zhirinovsky told Saddam before he left Baghdad on Wednesday that his Liberal Democratic party and the Russian Duma ( parliament ) "" are calling for an immediate lifting of the embargo "" imposed on Iraq after its 1990 invasion of Kuwait .",Liberal Democratic,PERSON,79,97
209,"They said Zhirinovsky told Saddam before he left Baghdad on Wednesday that his Liberal Democratic party and the Russian Duma ( parliament ) "" are calling for an immediate lifting of the embargo "" imposed on Iraq after its 1990 invasion of Kuwait .",Russian Duma,PERSON,112,124
213,"Last October he was invited to attend the referendum held on Iraq 's presidency , which extended Saddam 's term for seven more years .",Last October,PERSON,0,12
220,- Iraq 's President Saddam Hussein meets with chairman of the Russian liberal democratic party Vladimir Zhirinovsky .,President Saddam,PERSON,10,26
220,- Iraq 's President Saddam Hussein meets with chairman of the Russian liberal democratic party Vladimir Zhirinovsky .,Vladimir Zhirinovsky,PERSON,95,115
223,- A shipload of 12 tonnes of rice arrives in Umm Qasr port in the Gulf .,Umm Qasr,PERSON,45,53
231,- Prime Minister Hariri : Israeli threats do no serve peace .,Prime Minister,PERSON,2,16
233,- Parliament Speaker Berri : Israel is preparing for war against Syria and Lebanon .,Parliament Speaker,PERSON,2,20
237,- Continued criticism of law violation incidents -- which occurred in the Mount Lebanon elections last Sunday .,Mount Lebanon,PERSON,74,87
242,- Maronite Patriarch Sfeir expressed sorrow over the violations in Sunday ' elections .,Maronite Patriarch,PERSON,2,20
255,KinderCare Learning Centers Inc said on Thursday that a debt buyback would mean an extraordinary loss of $ 1.2 million in its fiscal 1997 first quarter .,Learning Centers,PERSON,11,27
258,"Philip Maslowe , chief financial officer of the preschool and child care company , said the buyback "" offered an opportunity to reduce the company 's weighted average interest costs and improve future cash flows and earnings . """,Philip Maslowe,PERSON,0,14
261,"-- Lehman analyst Blake Bath started Southern New England Telecommunciations Corp with an outperform rating , his office said .",Blake Bath,PERSON,18,28
261,"-- Lehman analyst Blake Bath started Southern New England Telecommunciations Corp with an outperform rating , his office said .",Southern New,PERSON,37,49
261,"-- Lehman analyst Blake Bath started Southern New England Telecommunciations Corp with an outperform rating , his office said .",England Telecommunciations,PERSON,50,76
264,-- Southern New England closed at 38-1/2 Wednesday .,Southern New,PERSON,3,15
265,"-- E. Auchard , Wall Street bureau , 212-859-1736",E. Auchard,PERSON,3,13
265,"-- E. Auchard , Wall Street bureau , 212-859-1736",Wall Street,PERSON,16,27
267,Gateway Data Sciences Q2 net rises .,Gateway Data,PERSON,0,12
267,Gateway Data Sciences Q2 net rises .,Sciences Q2,PERSON,13,24
269,Summary of Consolidated Financial Data,Consolidated Financial,PERSON,11,33
270,"( In Thousands , except per share data )",In Thousands,PERSON,2,14
271,Six Months Ended Quarter Ended,Six Months,PERSON,0,10
271,Six Months Ended Quarter Ended,Ended Quarter,PERSON,11,24
274,Income Statement Data :,Income Statement,PERSON,0,16
275,"Total Revenue $ 10,756 $ 13,102 $ 7,961 $ 5,507",Total Revenue,PERSON,0,13
276,"Software Revenue 2,383 1,558 1,086 1,074",Software Revenue,PERSON,0,16
277,"Services Revenue 1,154 692 624 465",Services Revenue,PERSON,0,16
278,Operating Income 906 962 599 515,Operating Income,PERSON,0,16
279,Net Income 821 512 565 301,Net Income,PERSON,0,10
280,Earnings Per Share 0.31 0.34 0.19 0.20,Earnings Per,PERSON,0,12
282,Balance Sheet Data :,Balance Sheet,PERSON,0,13
283,"Working Capital $ 5,755 ( $ 881 )",Working Capital,PERSON,0,15
284,"Cash and Cash Equivalents 2,386 93",Cash Equivalents,PERSON,9,25
285,"Total Assets 14,196 7,138",Total Assets,PERSON,0,12
290,"The Greek socialist party 's executive bureau gave Prime Minister Costas Simitis its backing if he chooses to call snap elections , its general secretary Costas Skandalidis told reporters on Thursday .",The Greek,PERSON,0,9
290,"The Greek socialist party 's executive bureau gave Prime Minister Costas Simitis its backing if he chooses to call snap elections , its general secretary Costas Skandalidis told reporters on Thursday .",Prime Minister,PERSON,51,65
290,"The Greek socialist party 's executive bureau gave Prime Minister Costas Simitis its backing if he chooses to call snap elections , its general secretary Costas Skandalidis told reporters on Thursday .",Costas Simitis,PERSON,66,80
290,"The Greek socialist party 's executive bureau gave Prime Minister Costas Simitis its backing if he chooses to call snap elections , its general secretary Costas Skandalidis told reporters on Thursday .",Costas Skandalidis,PERSON,154,172
291,"Prime Minister Costas Simitis will make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .",Prime Minister,PERSON,0,14
291,"Prime Minister Costas Simitis will make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .",Costas Simitis,PERSON,15,29
292,"-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4",Dimitris Kontogiannis,PERSON,3,24
292,"-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4",Athens Newsroom,PERSON,27,42
294,PRESS DIGEST - France - Le Monde Aug 22 .,France,GPE,15,21
294,PRESS DIGEST - France - Le Monde Aug 22 .,Le Monde,PERSON,24,32
296,"These are leading stories in Thursday 's afternoon daily Le Monde , dated Aug 23 .",Le Monde,PERSON,57,65
298,"-- Africans seeking to renew or obtain work and residence rights say Prime Minister Alain Juppe 's proposals are insufficient as hunger strike enters 49th day in Paris church and Wednesday rally attracts 8,000 sympathisers .",Prime Minister,PERSON,69,83
298,"-- Africans seeking to renew or obtain work and residence rights say Prime Minister Alain Juppe 's proposals are insufficient as hunger strike enters 49th day in Paris church and Wednesday rally attracts 8,000 sympathisers .",Alain Juppe,PERSON,84,95
302,-- Secretary general of the Sud-PTT trade union at France Telecom all the elements are in place for social unrest in the next few weeks .,France Telecom,PERSON,51,65
303,-- Paris Newsroom +33 1 42 21 53 81,Paris Newsroom,PERSON,3,17
307,"Three plugged water injection wells on the Heidrun oilfield off mid-Norway will be reopened over the next month , operator Den Norske Stats Oljeselskap AS ( Statoil ) said on Thursday .",Den Norske,PERSON,123,133
307,"Three plugged water injection wells on the Heidrun oilfield off mid-Norway will be reopened over the next month , operator Den Norske Stats Oljeselskap AS ( Statoil ) said on Thursday .",Stats Oljeselskap,PERSON,134,151
308,"The plugged wells have accounted for a dip of 30,000 barrels per day ( bpd ) in Heidrun output to roughly 220,000 bpd , according to the company 's Status Weekly newsletter .",Status Weekly,PERSON,148,161
312,Finnish April trade surplus 3.8 billion markka - NCB .,Finnish April,PERSON,0,13
314,"Finland 's trade surplus rose to 3.83 billion markka in April from 3.43 billion in March , the National Customs Board ( NCB ) said in a statement on Thursday .",National Customs,PERSON,95,111
321,"The January-April 1995 import figure was revised from 39,584 million markka and the export figure from 55,627 million markka .",The January,PERSON,0,11
322,The Bank of Finland earlier estimated the April trade surplus at 3.2 billion markka with exports projected at 14.5 billion and imports at 11.3 billion .,The Bank,PERSON,0,8
