Sentence #,Word,POS,Chunk,Tag
10,conditions,NNS,B-NP,O
10,sheep,NN,I-NP,O
10,could,MD,B-VP,O
10,contract,VB,I-VP,O
10,Bovine,NNP,B-NP,B-MISC
10,Spongiform,NNP,I-NP,I-MISC
10,Encephalopathy,NNP,I-NP,I-MISC
10,(,(,O,O
10,BSE,NNP,B-NP,B-MISC
10,),),O,O
10,--,:,O,O
10,mad,JJ,B-NP,O
10,cow,NN,I-NP,O
10,disease,NN,I-NP,O
10,.,.,O,O
11,But,CC,O,O
11,Fischler,NNP,B-NP,B-PER
11,agreed,VBD,B-VP,O
11,to,TO,I-VP,O
11,review,VB,I-VP,O
11,his,PRP$,B-NP,O
11,proposal,NN,I-NP,O
11,after,IN,B-PP,O
11,the,DT,B-NP,O
11,EU,NNP,I-NP,B-ORG
11,'s,POS,B-NP,O
11,standing,NN,I-NP,O
11,veterinary,JJ,I-NP,O
11,committee,NN,I-NP,O
11,",",",",O,O
11,mational,JJ,B-NP,O
11,animal,NN,I-NP,O
11,health,NN,I-NP,O
11,officials,NNS,I-NP,O
11,",",",",O,O
11,questioned,VBD,B-VP,O
11,if,IN,B-SBAR,O
11,such,JJ,B-NP,O
11,action,NN,I-NP,O
11,was,VBD,B-VP,O
11,justified,VBN,I-VP,O
11,as,IN,B-PP,O
11,there,RB,B-ADVP,O
11,was,VBD,B-VP,O
11,only,RB,B-ADVP,O
11,a,DT,B-NP,O
11,slight,JJ,I-NP,O
11,risk,NN,I-NP,O
11,to,TO,B-PP,O
11,human,JJ,B-NP,O
11,health,NN,I-NP,O
11,.,.,O,O
12,Spanish,NNP,B-NP,B-MISC
12,Farm,NNP,I-NP,O
12,Minister,NNP,I-NP,O
12,Loyola,NNP,I-NP,B-PER
12,de,NNP,I-NP,I-PER
12,Palacio,NNP,I-NP,I-PER
12,had,VBD,B-VP,O
12,earlier,RBR,I-VP,O
12,accused,VBN,I-VP,O
12,Fischler,NNP,B-NP,B-PER
12,at,IN,B-PP,O
12,an,DT,B-NP,O
12,EU,JJ,I-NP,B-ORG
12,farm,NN,I-NP,O
12,ministers,NNS,I-NP,O
12,',POS,B-NP,O
12,meeting,NN,I-NP,O
12,of,IN,B-PP,O
12,causing,VBG,B-VP,O
12,unjustified,JJ,B-ADJP,O
12,alarm,NN,B-NP,O
12,through,IN,B-PP,O
12,"""","""",O,O
12,dangerous,JJ,B-NP,O
12,generalisation,NN,I-NP,O
12,.,.,O,O
12,"""","""",O,O
13,.,.,O,O
14,Only,RB,B-NP,O
14,France,NNP,I-NP,B-LOC
14,and,CC,I-NP,O
14,Britain,NNP,I-NP,B-LOC
14,backed,VBD,B-VP,O
14,Fischler,NNP,B-NP,B-PER
14,'s,POS,B-NP,O
14,proposal,NN,I-NP,O
14,.,.,O,O
15,The,DT,B-NP,O
15,EU,NNP,I-NP,B-ORG
15,'s,POS,B-NP,O
15,scientific,JJ,I-NP,O
15,veterinary,JJ,I-NP,O
15,and,CC,I-NP,O
15,multidisciplinary,JJ,I-NP,O
15,committees,NNS,I-NP,O
15,are,VBP,B-VP,O
15,due,JJ,B-ADJP,O
15,to,TO,B-VP,O
15,re-examine,VB,I-VP,O
15,the,DT,B-NP,O
15,issue,NN,I-NP,O
15,early,RB,B-NP,O
15,next,JJ,I-NP,O
15,month,NN,I-NP,O
15,and,CC,O,O
15,make,VB,B-VP,O
15,recommendations,NNS,B-NP,O
15,to,TO,B-PP,O
15,the,DT,B-NP,O
15,senior,JJ,I-NP,O
15,veterinary,JJ,I-NP,O
15,officials,NNS,I-NP,O
15,.,.,O,O
16,Sheep,NNP,B-NP,O
16,have,VBP,B-VP,O
16,long,RB,I-VP,O
16,been,VBN,I-VP,O
16,known,VBN,I-VP,O
16,to,TO,B-PP,O
16,contract,NN,B-NP,O
16,scrapie,NN,I-NP,O
16,",",",",O,O
16,a,DT,B-NP,O
16,brain-wasting,JJ,I-NP,O
16,disease,NN,I-NP,O
16,similar,JJ,B-ADJP,O
16,to,TO,B-PP,O
16,BSE,NNP,B-NP,B-MISC
16,which,WDT,B-NP,O
16,is,VBZ,B-VP,O
16,believed,VBN,I-VP,O
16,to,TO,I-VP,O
16,have,VB,I-VP,O
16,been,VBN,I-VP,O
16,transferred,VBN,I-VP,O
16,to,TO,B-PP,O
16,cattle,NNS,B-NP,O
16,through,IN,B-PP,O
16,feed,NN,B-NP,O
16,containing,VBG,B-VP,O
16,animal,NN,B-NP,O
16,waste,NN,I-NP,O
16,.,.,O,O
17,British,JJ,B-NP,B-MISC
17,farmers,NNS,I-NP,O
17,denied,VBN,B-VP,O
17,on,IN,B-PP,O
17,Thursday,NNP,B-NP,O
17,there,EX,B-NP,O
17,was,VBD,B-VP,O
17,any,DT,B-NP,O
17,danger,NN,I-NP,O
17,to,TO,B-PP,O
17,human,JJ,B-NP,O
17,health,NN,I-NP,O
17,from,IN,B-PP,O
17,their,PRP$,B-NP,O
17,sheep,NN,I-NP,O
17,",",",",O,O
17,but,CC,O,O
17,expressed,VBD,B-VP,O
17,concern,NN,B-NP,O
17,that,IN,B-SBAR,O
17,German,JJ,B-NP,B-MISC
17,government,NN,I-NP,O
17,advice,NN,I-NP,O
17,to,TO,B-PP,O
17,consumers,NNS,B-NP,O
17,to,TO,B-VP,O
17,avoid,VB,I-VP,O
17,British,JJ,B-NP,B-MISC
17,lamb,NN,I-NP,O
17,might,MD,B-VP,O
17,influence,VB,I-VP,O
17,consumers,NNS,B-NP,O
17,across,IN,B-PP,O
17,Europe,NNP,B-NP,B-LOC
17,.,.,O,O
18,"""","""",O,O
18,What,WP,B-NP,O
18,we,PRP,B-NP,O
18,have,VBP,B-VP,O
18,to,TO,I-VP,O
18,be,VB,I-VP,O
18,extremely,RB,B-ADJP,O
18,careful,JJ,I-ADJP,O
18,of,IN,B-PP,O
18,is,VBZ,B-VP,O
18,how,WRB,B-ADVP,O
18,other,JJ,B-NP,O
18,countries,NNS,I-NP,O
18,are,VBP,B-VP,O
18,going,VBG,I-VP,O
18,to,TO,I-VP,O
18,take,VB,I-VP,O
18,Germany,NNP,B-NP,B-LOC
18,'s,POS,B-NP,O
18,lead,NN,I-NP,O
18,",",",",O,O
18,"""","""",O,O
18,Welsh,NNP,B-NP,B-ORG
18,National,NNP,I-NP,I-ORG
18,Farmers,NNP,I-NP,I-ORG
18,',POS,B-NP,I-ORG
18,Union,NNP,I-NP,I-ORG
18,(,(,O,O
18,NFU,NNP,B-NP,B-ORG
18,),),O,O
18,chairman,NN,B-NP,O
18,John,NNP,I-NP,B-PER
18,Lloyd,NNP,I-NP,I-PER
18,Jones,NNP,I-NP,I-PER
18,said,VBD,B-VP,O
18,on,IN,B-PP,O
18,BBC,NNP,B-NP,B-ORG
18,radio,NN,I-NP,I-ORG
18,.,.,O,O
19,Bonn,NNP,B-NP,B-LOC
19,has,VBZ,B-VP,O
19,led,VBN,I-VP,O
19,efforts,NNS,B-NP,O
19,to,TO,B-VP,O
19,protect,VB,I-VP,O
19,public,JJ,B-NP,O
19,health,NN,I-NP,O
19,after,IN,B-PP,O
19,consumer,NN,B-NP,O
19,confidence,NN,I-NP,O
19,collapsed,VBD,B-VP,O
19,in,IN,B-PP,O
19,March,NNP,B-NP,O
19,after,IN,B-PP,O
19,a,DT,B-NP,O
19,British,JJ,I-NP,B-MISC
19,report,NN,I-NP,O
19,suggested,VBD,B-VP,O
19,humans,NNS,B-NP,O
19,could,MD,B-VP,O
19,contract,VB,I-VP,O
19,an,DT,B-NP,O
19,illness,NN,I-NP,O
19,similar,JJ,B-ADJP,O
19,to,TO,I-ADJP,O
19,mad,JJ,I-ADJP,O
19,cow,NN,B-NP,O
19,disease,NN,I-NP,O
19,by,IN,B-PP,O
19,eating,VBG,B-VP,O
19,contaminated,VBN,I-VP,O
19,beef,NN,B-NP,O
19,.,.,O,O
20,Germany,NNP,B-NP,B-LOC
20,imported,VBD,B-VP,O
20,"47,600",CD,B-NP,O
20,sheep,NN,I-NP,O
20,from,IN,B-PP,O
20,Britain,NNP,B-NP,B-LOC
20,last,JJ,B-NP,O
20,year,NN,I-NP,O
20,",",",",O,O
20,nearly,RB,B-NP,O
20,half,NN,I-NP,O
20,of,IN,B-PP,O
20,total,JJ,B-NP,O
20,imports,NNS,I-NP,O
20,.,.,O,O
21,It,PRP,B-NP,O
21,brought,VBD,B-VP,O
21,in,IN,B-PP,O
21,"4,275",CD,B-NP,O
21,tonnes,NNS,I-NP,O
21,of,IN,B-PP,O
21,British,JJ,B-NP,B-MISC
21,mutton,NN,I-NP,O
21,",",",",O,O
21,some,DT,B-NP,O
21,10,CD,I-NP,O
21,percent,NN,I-NP,O
21,of,IN,B-PP,O
21,overall,JJ,B-NP,O
21,imports,NNS,I-NP,O
21,.,.,O,O
23,Rare,NNP,B-NP,O
23,Hendrix,NNP,I-NP,B-PER
23,song,NN,I-NP,O
23,draft,NN,I-NP,O
23,sells,VBZ,B-VP,O
23,for,IN,B-PP,O
23,almost,RB,B-NP,O
23,$,$,I-NP,O
23,"17,000",CD,I-NP,O
23,.,.,O,O
24,LONDON,NNP,B-NP,B-LOC
24,1996-08-22,CD,I-NP,O
25,A,DT,B-NP,O
25,rare,JJ,I-NP,O
25,early,JJ,I-NP,O
25,handwritten,JJ,I-NP,O
25,draft,NN,I-NP,O
25,of,IN,B-PP,O
25,a,DT,B-NP,O
25,song,NN,I-NP,O
25,by,IN,B-PP,O
25,U.S.,NNP,B-NP,B-LOC
25,guitar,NN,I-NP,O
25,legend,NN,I-NP,O
25,Jimi,NNP,I-NP,B-PER
25,Hendrix,NNP,I-NP,I-PER
25,was,VBD,B-VP,O
25,sold,VBN,I-VP,O
25,for,IN,B-PP,O
25,almost,RB,B-NP,O
25,$,$,I-NP,O
25,"17,000",CD,I-NP,O
25,on,IN,B-PP,O
25,Thursday,NNP,B-NP,O
25,at,IN,B-PP,O
25,an,DT,B-NP,O
25,auction,NN,I-NP,O
25,of,IN,B-PP,O
25,some,DT,B-NP,O
25,of,IN,B-PP,O
25,the,DT,B-NP,O
25,late,JJ,I-NP,O
25,musician,NN,I-NP,O
25,'s,POS,B-NP,O
25,favourite,JJ,I-NP,O
25,possessions,NNS,I-NP,O
25,.,.,O,O
26,A,DT,B-NP,O
26,Florida,NNP,I-NP,B-LOC
26,restaurant,NN,I-NP,O
26,paid,VBD,B-VP,O
26,"10,925",CD,B-NP,O
26,pounds,NNS,I-NP,O
26,(,(,O,O
26,$,$,B-NP,O
26,"16,935",CD,I-NP,O
26,),),O,O
26,for,IN,B-PP,O
26,the,DT,B-NP,O
26,draft,NN,I-NP,O
26,of,IN,B-PP,O
26,"""","""",O,O
26,Ai,VBZ,B-VP,B-MISC
26,n't,RB,O,I-MISC
26,no,DT,B-NP,I-MISC
26,telling,VBG,B-VP,I-MISC
26,"""","""",O,O
26,",",",",O,O
26,which,WDT,B-NP,O
26,Hendrix,NNP,B-NP,B-PER
26,penned,VBN,B-VP,O
26,on,IN,B-PP,O
26,a,DT,B-NP,O
26,piece,NN,I-NP,O
26,of,IN,B-PP,O
26,London,NNP,B-NP,B-LOC
26,hotel,NN,I-NP,O
26,stationery,NN,I-NP,O
26,in,IN,B-PP,O
26,late,JJ,B-NP,O
26,1966,CD,I-NP,O
26,.,.,O,O
27,At,IN,B-PP,O
27,the,DT,B-NP,O
27,end,NN,I-NP,O
27,of,IN,B-PP,O
27,a,DT,B-NP,O
27,January,NNP,I-NP,O
27,1967,CD,I-NP,O
27,concert,NN,I-NP,O
27,in,IN,B-PP,O
27,the,DT,B-NP,O
27,English,JJ,I-NP,B-MISC
27,city,NN,I-NP,O
27,of,IN,B-PP,O
27,Nottingham,NNP,B-NP,B-LOC
27,he,PRP,B-NP,O
27,threw,VBD,B-VP,O
27,the,DT,B-NP,O
27,sheet,NN,I-NP,O
27,of,IN,B-PP,O
27,paper,NN,B-NP,O
27,into,IN,B-PP,O
27,the,DT,B-NP,O
27,audience,NN,I-NP,O
27,",",",",O,O
27,where,WRB,B-ADVP,O
27,it,PRP,B-NP,O
27,was,VBD,B-VP,O
27,retrieved,VBN,I-VP,O
27,by,IN,B-PP,O
27,a,DT,B-NP,O
27,fan,NN,I-NP,O
27,.,.,O,O
28,Buyers,NNS,B-NP,O
28,also,RB,B-ADVP,O
28,snapped,VBD,B-VP,O
28,up,RB,B-ADVP,O
28,16,CD,B-NP,O
28,other,JJ,I-NP,O
28,items,NNS,I-NP,O
28,that,WDT,B-NP,O
28,were,VBD,B-VP,O
28,put,VBN,I-VP,O
28,up,RP,B-PRT,O
28,for,IN,B-PP,O
28,auction,NN,B-NP,O
28,by,IN,B-PP,O
28,Hendrix,NNP,B-NP,B-PER
28,'s,POS,B-NP,O
28,former,JJ,I-NP,O
28,girlfriend,NN,I-NP,O
28,Kathy,NNP,I-NP,B-PER
28,Etchingham,NNP,I-NP,I-PER
28,",",",",O,O
28,who,WP,B-NP,O
28,lived,VBD,B-VP,O
28,with,IN,B-PP,O
28,him,PRP,B-NP,O
28,from,IN,B-PP,O
28,1966,CD,B-NP,O
28,to,TO,B-PP,O
28,1969,CD,B-NP,O
28,.,.,O,O
29,They,PRP,B-NP,O
29,included,VBD,B-VP,O
29,a,DT,B-NP,O
29,black,JJ,I-NP,O
29,lacquer,NN,I-NP,O
29,and,CC,I-NP,O
29,mother,NN,I-NP,O
29,of,IN,B-PP,O
29,pearl,NN,B-NP,O
29,inlaid,VBD,B-VP,O
29,box,NN,B-NP,O
29,used,VBN,B-VP,O
29,by,IN,B-PP,O
29,Hendrix,NNP,B-NP,B-PER
29,to,TO,B-VP,O
29,store,VB,I-VP,O
29,his,PRP$,B-NP,O
29,drugs,NNS,I-NP,O
29,",",",",O,O
29,which,WDT,B-NP,O
29,an,DT,B-NP,O
29,anonymous,JJ,I-NP,O
29,Australian,JJ,I-NP,B-MISC
29,purchaser,NN,I-NP,O
29,bought,VBD,B-VP,O
29,for,IN,B-PP,O
29,"5,060",CD,B-NP,O
29,pounds,NNS,I-NP,O
29,(,(,O,O
29,$,$,B-NP,O
29,"7,845",CD,I-NP,O
29,),),O,O
29,.,.,O,O
30,The,DT,B-NP,O
30,guitarist,NN,I-NP,O
30,died,VBD,B-VP,O
30,of,IN,B-PP,O
30,a,DT,B-NP,O
30,drugs,NNS,I-NP,O
30,overdose,NN,I-NP,O
30,in,IN,B-PP,O
30,1970,CD,B-NP,O
30,aged,VBN,B-ADJP,O
30,27,CD,B-NP,O
30,.,.,O,O
32,China,NNP,B-NP,B-LOC
32,says,VBZ,B-VP,O
32,Taiwan,NNP,B-NP,B-LOC
32,spoils,VBZ,B-VP,O
32,atmosphere,NN,B-NP,O
32,for,IN,B-PP,O
32,talks,NNS,B-NP,O
32,.,.,O,O
33,BEIJING,VBG,B-VP,B-LOC
33,1996-08-22,CD,B-NP,O
34,China,NNP,B-NP,B-LOC
34,on,IN,B-PP,O
34,Thursday,NNP,B-NP,O
34,accused,VBD,B-VP,O
34,Taipei,NNP,B-NP,B-LOC
34,of,IN,B-PP,O
34,spoiling,VBG,B-VP,O
34,the,DT,B-NP,O
34,atmosphere,NN,I-NP,O
34,for,IN,B-PP,O
34,a,DT,B-NP,O
34,resumption,NN,I-NP,O
34,of,IN,B-PP,O
34,talks,NNS,B-NP,O
34,across,IN,B-PP,O
34,the,DT,B-NP,O
34,Taiwan,NNP,I-NP,B-LOC
34,Strait,NNP,I-NP,I-LOC
34,with,IN,B-PP,O
34,a,DT,B-NP,O
34,visit,NN,I-NP,O
34,to,TO,B-PP,O
34,Ukraine,NNP,B-NP,B-LOC
34,by,IN,B-PP,O
34,Taiwanese,NNP,B-NP,B-MISC
34,Vice,NNP,I-NP,O
34,President,NNP,I-NP,O
34,Lien,NNP,I-NP,B-PER
34,Chan,NNP,I-NP,I-PER
34,this,DT,B-NP,O
34,week,NN,I-NP,O
34,that,WDT,B-NP,O
34,infuriated,VBD,B-VP,O
34,Beijing,NNP,B-NP,B-LOC
34,.,.,O,O
35,Speaking,VBG,B-VP,O
35,only,JJ,B-ADVP,O
35,hours,NNS,B-NP,O
35,after,IN,B-PP,O
35,Chinese,JJ,B-NP,B-MISC
35,state,NN,I-NP,O
35,media,NNS,I-NP,O
35,said,VBD,B-VP,O
35,the,DT,B-NP,O
35,time,NN,I-NP,O
35,was,VBD,B-VP,O
35,right,RB,B-ADJP,O
35,to,TO,B-VP,O
35,engage,VB,I-VP,O
35,in,IN,B-PP,O
35,political,JJ,B-NP,O
35,talks,NNS,I-NP,O
35,with,IN,B-PP,O
35,Taiwan,NNP,B-NP,B-LOC
35,",",",",O,O
35,Foreign,NNP,B-NP,B-ORG
35,Ministry,NNP,I-NP,I-ORG
35,spokesman,NN,I-NP,O
35,Shen,NNP,I-NP,B-PER
35,Guofang,NNP,I-NP,I-PER
35,told,VBD,B-VP,O
35,Reuters,NNP,B-NP,B-ORG
35,:,:,O,O
35,"""","""",O,O
35,The,DT,B-NP,O
35,necessary,JJ,I-NP,O
35,atmosphere,NN,I-NP,O
35,for,IN,B-PP,O
35,the,DT,B-NP,O
35,opening,NN,I-NP,O
35,of,IN,B-PP,O
35,the,DT,B-NP,O
35,talks,NNS,I-NP,O
35,has,VBZ,B-VP,O
35,been,VBN,I-VP,O
35,disrupted,VBN,I-VP,O
35,by,IN,B-PP,O
35,the,DT,B-NP,O
35,Taiwan,NNP,I-NP,B-LOC
35,authorities,NNS,I-NP,O
35,.,.,O,O
35,"""","""",O,O
36,State,NN,B-NP,O
36,media,NNS,I-NP,O
36,quoted,VBD,B-VP,O
36,China,NNP,B-NP,B-LOC
36,'s,POS,B-NP,O
36,top,JJ,I-NP,O
36,negotiator,NN,I-NP,O
36,with,IN,B-PP,O
36,Taipei,NNP,B-NP,B-LOC
36,",",",",O,O
36,Tang,NNP,B-NP,B-PER
36,Shubei,NNP,I-NP,I-PER
36,",",",",O,O
36,as,IN,B-PP,O
36,telling,VBG,B-VP,O
36,a,DT,B-NP,O
36,visiting,JJ,I-NP,O
36,group,NN,I-NP,O
36,from,IN,B-PP,O
36,Taiwan,NNP,B-NP,B-LOC
36,on,IN,B-PP,O
36,Wednesday,NNP,B-NP,O
36,that,IN,B-SBAR,O
36,it,PRP,B-NP,O
36,was,VBD,B-VP,O
36,time,NN,B-NP,O
36,for,IN,B-PP,O
36,the,DT,B-NP,O
36,rivals,NNS,I-NP,O
36,to,TO,B-VP,O
36,hold,VB,I-VP,O
36,political,JJ,B-NP,O
36,talks,NNS,I-NP,O
36,.,.,O,O
37,"""","""",O,O
37,Now,RB,B-ADVP,O
37,is,VBZ,B-VP,O
37,the,DT,B-NP,O
37,time,NN,I-NP,O
37,for,IN,B-PP,O
37,the,DT,B-NP,O
37,two,CD,I-NP,O
37,sides,NNS,I-NP,O
37,to,TO,B-VP,O
37,engage,VB,I-VP,O
37,in,IN,B-PP,O
37,political,JJ,B-NP,O
37,talks,NNS,I-NP,O
37,...,:,O,O
38,that,WDT,B-NP,O
38,is,VBZ,B-VP,O
38,to,TO,B-VP,O
38,end,VB,I-VP,O
38,the,DT,B-NP,O
38,state,NN,I-NP,O
38,of,IN,B-PP,O
38,hostility,NN,B-NP,O
38,",",",",O,O
38,"""","""",O,O
38,Thursday,NNP,B-NP,O
38,'s,POS,B-NP,O
38,overseas,JJ,I-NP,O
38,edition,NN,I-NP,O
38,of,IN,B-PP,O
38,the,DT,B-NP,O
38,People,NNPS,I-NP,B-ORG
38,'s,POS,B-NP,I-ORG
38,Daily,JJ,I-NP,I-ORG
38,quoted,VBN,B-VP,O
38,Tang,NNP,B-NP,B-PER
38,as,IN,B-PP,O
38,saying,VBG,B-VP,O
38,.,.,O,O
39,The,DT,B-NP,O
39,foreign,JJ,I-NP,O
39,ministry,NN,I-NP,O
39,'s,POS,B-NP,O
39,Shen,NNP,I-NP,B-ORG
39,told,VBD,B-VP,O
39,Reuters,NNP,B-NP,B-ORG
39,Television,NNP,I-NP,I-ORG
39,in,IN,B-PP,O
39,an,DT,B-NP,O
39,interview,NN,I-NP,O
39,he,PRP,B-NP,O
39,had,VBD,B-VP,O
39,read,VBN,I-VP,O
39,reports,NNS,B-NP,O
39,of,IN,B-PP,O
39,Tang,NNP,B-NP,B-PER
39,'s,POS,B-NP,O
39,comments,NNS,I-NP,O
39,but,CC,O,O
39,gave,VBD,B-VP,O
39,no,DT,B-NP,O
39,details,NNS,I-NP,O
39,of,IN,B-PP,O
39,why,WRB,B-ADVP,O
39,the,DT,B-NP,O
39,negotiator,NN,I-NP,O
39,had,VBD,B-VP,O
39,considered,VBN,I-VP,O
39,the,DT,B-NP,O
39,time,NN,I-NP,O
39,right,RB,B-ADVP,O
39,for,IN,B-PP,O
39,talks,NNS,B-NP,O
39,with,IN,B-PP,O
39,Taiwan,NNP,B-NP,B-LOC
39,",",",",O,O
39,which,WDT,B-NP,O
39,Beijing,NNP,B-NP,B-LOC
39,considers,VBZ,B-VP,O
39,a,DT,B-NP,O
39,renegade,NN,I-NP,O
39,province,NN,I-NP,O
39,.,.,O,O
40,China,NNP,B-NP,B-LOC
40,",",",",O,O
40,which,WDT,B-NP,O
40,has,VBZ,B-VP,O
40,long,RB,I-VP,O
40,opposed,VBN,I-VP,O
40,all,DT,B-NP,O
40,Taipei,NNP,I-NP,B-LOC
40,efforts,NNS,I-NP,O
40,to,TO,B-VP,O
40,gain,VB,I-VP,O
40,greater,JJR,B-NP,O
40,international,JJ,I-NP,O
40,recognition,NN,I-NP,O
40,",",",",O,O
40,was,VBD,B-VP,O
40,infuriated,VBN,I-VP,O
40,by,IN,B-PP,O
40,a,DT,B-NP,O
40,visit,NN,I-NP,O
40,to,TO,B-PP,O
40,Ukraine,NNP,B-NP,B-LOC
40,this,DT,B-NP,O
40,week,NN,I-NP,O
40,by,IN,B-PP,O
40,Taiwanese,NNP,B-NP,B-MISC
40,Vice,NNP,I-NP,O
40,President,NNP,I-NP,O
