sentence_id,text,entity,label,start,end
12,"Spanish Farm Minister Loyola de Palacio had earlier accused Fischler at an EU farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . """,Spanish,NORP,0,7
12,"Spanish Farm Minister Loyola de Palacio had earlier accused Fischler at an EU farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . """,Loyola de Palacio,PERSON,22,39
12,"Spanish Farm Minister Loyola de Palacio had earlier accused Fischler at an EU farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . """,Fischler,PERSON,60,68
12,"Spanish Farm Minister Loyola de Palacio had earlier accused Fischler at an EU farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . """,EU,ORG,75,77
14,Only France and Britain backed Fischler 's proposal .,France,GPE,5,11
14,Only France and Britain backed Fischler 's proposal .,Britain,GPE,16,23
14,Only France and Britain backed Fischler 's proposal .,Fischler,PERSON,31,39
15,The EU 's scientific veterinary and multidisciplinary committees are due to re-examine the issue early next month and make recommendations to the senior veterinary officials .,EU,ORG,4,6
15,The EU 's scientific veterinary and multidisciplinary committees are due to re-examine the issue early next month and make recommendations to the senior veterinary officials .,early next month,DATE,97,113
16,"Sheep have long been known to contract scrapie , a brain-wasting disease similar to BSE which is believed to have been transferred to cattle through feed containing animal waste .",BSE,ORG,84,87
17,"British farmers denied on Thursday there was any danger to human health from their sheep , but expressed concern that German government advice to consumers to avoid British lamb might influence consumers across Europe .",British,NORP,0,7
17,"British farmers denied on Thursday there was any danger to human health from their sheep , but expressed concern that German government advice to consumers to avoid British lamb might influence consumers across Europe .",Thursday,DATE,26,34
17,"British farmers denied on Thursday there was any danger to human health from their sheep , but expressed concern that German government advice to consumers to avoid British lamb might influence consumers across Europe .",German,NORP,118,124
17,"British farmers denied on Thursday there was any danger to human health from their sheep , but expressed concern that German government advice to consumers to avoid British lamb might influence consumers across Europe .",British,NORP,165,172
17,"British farmers denied on Thursday there was any danger to human health from their sheep , but expressed concern that German government advice to consumers to avoid British lamb might influence consumers across Europe .",Europe,LOC,211,217
18,""" What we have to be extremely careful of is how other countries are going to take Germany 's lead , "" Welsh National Farmers ' Union ( NFU ) chairman John Lloyd Jones said on BBC radio .",Germany,GPE,83,90
18,""" What we have to be extremely careful of is how other countries are going to take Germany 's lead , "" Welsh National Farmers ' Union ( NFU ) chairman John Lloyd Jones said on BBC radio .",Welsh National Farmers ' Union,ORG,103,133
18,""" What we have to be extremely careful of is how other countries are going to take Germany 's lead , "" Welsh National Farmers ' Union ( NFU ) chairman John Lloyd Jones said on BBC radio .",John Lloyd Jones,PERSON,151,167
18,""" What we have to be extremely careful of is how other countries are going to take Germany 's lead , "" Welsh National Farmers ' Union ( NFU ) chairman John Lloyd Jones said on BBC radio .",BBC,ORG,176,179
19,Bonn has led efforts to protect public health after consumer confidence collapsed in March after a British report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef .,Bonn,GPE,0,4
19,Bonn has led efforts to protect public health after consumer confidence collapsed in March after a British report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef .,March,DATE,85,90
19,Bonn has led efforts to protect public health after consumer confidence collapsed in March after a British report suggested humans could contract an illness similar to mad cow disease by eating contaminated beef .,British,NORP,99,106
20,"Germany imported 47,600 sheep from Britain last year , nearly half of total imports .",Germany,GPE,0,7
20,"Germany imported 47,600 sheep from Britain last year , nearly half of total imports .","47,600",CARDINAL,17,23
20,"Germany imported 47,600 sheep from Britain last year , nearly half of total imports .",Britain,GPE,35,42
20,"Germany imported 47,600 sheep from Britain last year , nearly half of total imports .",last year,DATE,43,52
20,"Germany imported 47,600 sheep from Britain last year , nearly half of total imports .",nearly half,CARDINAL,55,66
21,"It brought in 4,275 tonnes of British mutton , some 10 percent of overall imports .","4,275 tonnes",QUANTITY,14,26
21,"It brought in 4,275 tonnes of British mutton , some 10 percent of overall imports .",British,NORP,30,37
21,"It brought in 4,275 tonnes of British mutton , some 10 percent of overall imports .",some 10 percent,PERCENT,47,62
23,"Rare Hendrix song draft sells for almost $ 17,000 .",Rare Hendrix,PERSON,0,12
23,"Rare Hendrix song draft sells for almost $ 17,000 .","almost $ 17,000",MONEY,34,49
24,LONDON 1996-08-22,LONDON,GPE,0,6
24,LONDON 1996-08-22,1996-08-22,DATE,7,17
25,"A rare early handwritten draft of a song by U.S. guitar legend Jimi Hendrix was sold for almost $ 17,000 on Thursday at an auction of some of the late musician 's favourite possessions .",U.S.,GPE,44,48
25,"A rare early handwritten draft of a song by U.S. guitar legend Jimi Hendrix was sold for almost $ 17,000 on Thursday at an auction of some of the late musician 's favourite possessions .",Jimi Hendrix,PERSON,63,75
25,"A rare early handwritten draft of a song by U.S. guitar legend Jimi Hendrix was sold for almost $ 17,000 on Thursday at an auction of some of the late musician 's favourite possessions .","almost $ 17,000",MONEY,89,104
25,"A rare early handwritten draft of a song by U.S. guitar legend Jimi Hendrix was sold for almost $ 17,000 on Thursday at an auction of some of the late musician 's favourite possessions .",Thursday,DATE,108,116
26,"A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" Ai n't no telling "" , which Hendrix penned on a piece of London hotel stationery in late 1966 .",Florida,GPE,2,9
26,"A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" Ai n't no telling "" , which Hendrix penned on a piece of London hotel stationery in late 1966 .","10,925 pounds",MONEY,26,39
26,"A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" Ai n't no telling "" , which Hendrix penned on a piece of London hotel stationery in late 1966 .","16,935",MONEY,44,50
26,"A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" Ai n't no telling "" , which Hendrix penned on a piece of London hotel stationery in late 1966 .",Hendrix,ORG,100,107
26,"A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" Ai n't no telling "" , which Hendrix penned on a piece of London hotel stationery in late 1966 .",London,GPE,129,135
26,"A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" Ai n't no telling "" , which Hendrix penned on a piece of London hotel stationery in late 1966 .",late 1966,DATE,156,165
27,"At the end of a January 1967 concert in the English city of Nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .",the end of a January 1967,DATE,3,28
27,"At the end of a January 1967 concert in the English city of Nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .",English,LANGUAGE,44,51
27,"At the end of a January 1967 concert in the English city of Nottingham he threw the sheet of paper into the audience , where it was retrieved by a fan .",Nottingham,PERSON,60,70
28,"Buyers also snapped up 16 other items that were put up for auction by Hendrix 's former girlfriend Kathy Etchingham , who lived with him from 1966 to 1969 .",16,CARDINAL,23,25
28,"Buyers also snapped up 16 other items that were put up for auction by Hendrix 's former girlfriend Kathy Etchingham , who lived with him from 1966 to 1969 .",Hendrix,PERSON,70,77
28,"Buyers also snapped up 16 other items that were put up for auction by Hendrix 's former girlfriend Kathy Etchingham , who lived with him from 1966 to 1969 .",Kathy Etchingham,PERSON,99,115
29,"They included a black lacquer and mother of pearl inlaid box used by Hendrix to store his drugs , which an anonymous Australian purchaser bought for 5,060 pounds ( $ 7,845 ) .",Hendrix,GPE,69,76
29,"They included a black lacquer and mother of pearl inlaid box used by Hendrix to store his drugs , which an anonymous Australian purchaser bought for 5,060 pounds ( $ 7,845 ) .",Australian,NORP,117,127
29,"They included a black lacquer and mother of pearl inlaid box used by Hendrix to store his drugs , which an anonymous Australian purchaser bought for 5,060 pounds ( $ 7,845 ) .","5,060 pounds",MONEY,149,161
29,"They included a black lacquer and mother of pearl inlaid box used by Hendrix to store his drugs , which an anonymous Australian purchaser bought for 5,060 pounds ( $ 7,845 ) .","7,845",MONEY,166,171
30,The guitarist died of a drugs overdose in 1970 aged 27 .,1970,DATE,42,46
30,The guitarist died of a drugs overdose in 1970 aged 27 .,27,DATE,52,54
32,China says Taiwan spoils atmosphere for talks .,China,GPE,0,5
32,China says Taiwan spoils atmosphere for talks .,Taiwan,GPE,11,17
33,BEIJING 1996-08-22,1996-08-22,DATE,8,18
34,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,China,GPE,0,5
34,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,Thursday,DATE,9,17
34,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,Taipei,GPE,26,32
34,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,the Taiwan Strait,LOC,93,110
34,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,Ukraine,GPE,127,134
34,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,Taiwanese,NORP,138,147
34,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,Lien Chan,PERSON,163,172
34,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,this week,DATE,173,182
34,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,Beijing,GPE,199,206
35,"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . """,only hours,TIME,9,19
35,"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . """,Chinese,NORP,26,33
35,"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . """,Taiwan,GPE,104,110
35,"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . """,Foreign Ministry,ORG,113,129
35,"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . """,Shen Guofang,PERSON,140,152
35,"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . """,Reuters,ORG,158,165
35,"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . """,Taiwan,GPE,250,256
36,"State media quoted China 's top negotiator with Taipei , Tang Shubei , as telling a visiting group from Taiwan on Wednesday that it was time for the rivals to hold political talks .",China,GPE,19,24
36,"State media quoted China 's top negotiator with Taipei , Tang Shubei , as telling a visiting group from Taiwan on Wednesday that it was time for the rivals to hold political talks .",Taipei,GPE,48,54
36,"State media quoted China 's top negotiator with Taipei , Tang Shubei , as telling a visiting group from Taiwan on Wednesday that it was time for the rivals to hold political talks .",Tang Shubei,PERSON,57,68
36,"State media quoted China 's top negotiator with Taipei , Tang Shubei , as telling a visiting group from Taiwan on Wednesday that it was time for the rivals to hold political talks .",Taiwan,GPE,104,110
36,"State media quoted China 's top negotiator with Taipei , Tang Shubei , as telling a visiting group from Taiwan on Wednesday that it was time for the rivals to hold political talks .",Wednesday,DATE,114,123
37,""" Now is the time for the two sides to engage in political talks ...",two,CARDINAL,26,29
38,"that is to end the state of hostility , "" Thursday 's overseas edition of the People 's Daily quoted Tang as saying .",Thursday,DATE,42,50
38,"that is to end the state of hostility , "" Thursday 's overseas edition of the People 's Daily quoted Tang as saying .",the People 's Daily,ORG,74,93
38,"that is to end the state of hostility , "" Thursday 's overseas edition of the People 's Daily quoted Tang as saying .",Tang,PERSON,101,105
39,"The foreign ministry 's Shen told Reuters Television in an interview he had read reports of Tang 's comments but gave no details of why the negotiator had considered the time right for talks with Taiwan , which Beijing considers a renegade province .",Shen,PERSON,24,28
39,"The foreign ministry 's Shen told Reuters Television in an interview he had read reports of Tang 's comments but gave no details of why the negotiator had considered the time right for talks with Taiwan , which Beijing considers a renegade province .",Reuters Television,ORG,34,52
39,"The foreign ministry 's Shen told Reuters Television in an interview he had read reports of Tang 's comments but gave no details of why the negotiator had considered the time right for talks with Taiwan , which Beijing considers a renegade province .",Tang,PERSON,92,96
39,"The foreign ministry 's Shen told Reuters Television in an interview he had read reports of Tang 's comments but gave no details of why the negotiator had considered the time right for talks with Taiwan , which Beijing considers a renegade province .",Taiwan,GPE,196,202
39,"The foreign ministry 's Shen told Reuters Television in an interview he had read reports of Tang 's comments but gave no details of why the negotiator had considered the time right for talks with Taiwan , which Beijing considers a renegade province .",Beijing,GPE,211,218
40,"China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .",China,GPE,0,5
40,"China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .",Taipei,GPE,35,41
40,"China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .",Ukraine,GPE,123,130
40,"China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .",this week,DATE,131,140
40,"China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .",Taiwanese,NORP,144,153
40,"China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .",Lien,PERSON,169,173
42,China says time right for Taiwan talks .,China,GPE,0,5
42,China says time right for Taiwan talks .,Taiwan,GPE,26,32
43,BEIJING 1996-08-22,1996-08-22,DATE,8,18
44,China has said it was time for political talks with Taiwan and that the rival island should take practical steps towards that goal .,China,GPE,0,5
44,China has said it was time for political talks with Taiwan and that the rival island should take practical steps towards that goal .,Taiwan,GPE,52,58
45,"Consultations should be held to set the time and format of the talks , the official Xinhua news agency quoted Tang Shubei , executive vice chairman of the Association for Relations Across the Taiwan Straits , as saying late on Wednesday .",Xinhua news agency,ORG,84,102
45,"Consultations should be held to set the time and format of the talks , the official Xinhua news agency quoted Tang Shubei , executive vice chairman of the Association for Relations Across the Taiwan Straits , as saying late on Wednesday .",Tang Shubei,PERSON,110,121
45,"Consultations should be held to set the time and format of the talks , the official Xinhua news agency quoted Tang Shubei , executive vice chairman of the Association for Relations Across the Taiwan Straits , as saying late on Wednesday .",the Association for Relations Across,ORG,151,187
45,"Consultations should be held to set the time and format of the talks , the official Xinhua news agency quoted Tang Shubei , executive vice chairman of the Association for Relations Across the Taiwan Straits , as saying late on Wednesday .",the Taiwan Straits,LOC,188,206
45,"Consultations should be held to set the time and format of the talks , the official Xinhua news agency quoted Tang Shubei , executive vice chairman of the Association for Relations Across the Taiwan Straits , as saying late on Wednesday .",Wednesday,DATE,227,236
47,German July car registrations up 14.2 pct yr / yr .,German,NORP,0,6
47,German July car registrations up 14.2 pct yr / yr .,July,DATE,7,11
47,German July car registrations up 14.2 pct yr / yr .,14.2,CARDINAL,33,37
48,FRANKFURT 1996-08-22,1996-08-22,DATE,10,20
49,"German first-time registrations of motor vehicles jumped 14.2 percent in July this year from the year-earlier period , the Federal office for motor vehicles said on Thursday .",German,NORP,0,6
49,"German first-time registrations of motor vehicles jumped 14.2 percent in July this year from the year-earlier period , the Federal office for motor vehicles said on Thursday .",first,ORDINAL,7,12
49,"German first-time registrations of motor vehicles jumped 14.2 percent in July this year from the year-earlier period , the Federal office for motor vehicles said on Thursday .",14.2 percent,PERCENT,57,69
49,"German first-time registrations of motor vehicles jumped 14.2 percent in July this year from the year-earlier period , the Federal office for motor vehicles said on Thursday .",July this year,DATE,73,87
49,"German first-time registrations of motor vehicles jumped 14.2 percent in July this year from the year-earlier period , the Federal office for motor vehicles said on Thursday .",the year-earlier period,DATE,93,116
49,"German first-time registrations of motor vehicles jumped 14.2 percent in July this year from the year-earlier period , the Federal office for motor vehicles said on Thursday .",Thursday,DATE,165,173
50,"The office said 356,725 new cars were registered in July 1996 -- 304,850 passenger cars and 15,613 trucks .","356,725",CARDINAL,16,23
50,"The office said 356,725 new cars were registered in July 1996 -- 304,850 passenger cars and 15,613 trucks .",July 1996,DATE,52,61
50,"The office said 356,725 new cars were registered in July 1996 -- 304,850 passenger cars and 15,613 trucks .","304,850",CARDINAL,65,72
50,"The office said 356,725 new cars were registered in July 1996 -- 304,850 passenger cars and 15,613 trucks .","15,613",CARDINAL,92,98
51,The figures represent a 13.6 percent increase for passenger cars and a 2.2 percent decline for trucks from July 1995 .,13.6 percent,PERCENT,24,36
51,The figures represent a 13.6 percent increase for passenger cars and a 2.2 percent decline for trucks from July 1995 .,2.2 percent,PERCENT,71,82
51,The figures represent a 13.6 percent increase for passenger cars and a 2.2 percent decline for trucks from July 1995 .,July 1995,DATE,107,116
52,Motor-bike registration rose 32.7 percent in the period .,32.7 percent,PERCENT,29,41
53,"The growth was partly due to an increased number of Germans buying German cars abroad , while manufacturers said that domestic demand was weak , the federal office said .",Germans,NORP,52,59
53,"The growth was partly due to an increased number of Germans buying German cars abroad , while manufacturers said that domestic demand was weak , the federal office said .",German,NORP,67,73
54,Almost all German car manufacturers posted gains in registration numbers in the period .,German,NORP,11,17
55,"Volkswagen AG won 77,719 registrations , slightly more than a quarter of the total .",Volkswagen AG,ORG,0,13
55,"Volkswagen AG won 77,719 registrations , slightly more than a quarter of the total .","77,719",CARDINAL,18,24
56,"Opel AG together with General Motors came in second place with 49,269 registrations , 16.4 percent of the overall figure .",Opel AG,ORG,0,7
56,"Opel AG together with General Motors came in second place with 49,269 registrations , 16.4 percent of the overall figure .",General Motors,ORG,22,36
56,"Opel AG together with General Motors came in second place with 49,269 registrations , 16.4 percent of the overall figure .",second,ORDINAL,45,51
56,"Opel AG together with General Motors came in second place with 49,269 registrations , 16.4 percent of the overall figure .","49,269",CARDINAL,63,69
56,"Opel AG together with General Motors came in second place with 49,269 registrations , 16.4 percent of the overall figure .",16.4 percent,PERCENT,86,98
57,"Third was Ford with 35,563 registrations , or 11.7 percent .",Third,ORDINAL,0,5
57,"Third was Ford with 35,563 registrations , or 11.7 percent .",Ford,ORG,10,14
57,"Third was Ford with 35,563 registrations , or 11.7 percent .","35,563",CARDINAL,20,26
57,"Third was Ford with 35,563 registrations , or 11.7 percent .",11.7 percent,PERCENT,46,58
58,Only Seat and Porsche had fewer registrations in July 1996 compared to last year 's July .,Seat and Porsche,ORG,5,21
58,Only Seat and Porsche had fewer registrations in July 1996 compared to last year 's July .,July 1996,DATE,49,58
58,Only Seat and Porsche had fewer registrations in July 1996 compared to last year 's July .,last year 's July,DATE,71,88
59,"Seat posted 3,420 registrations compared with 5522 registrations in July a year earlier .","3,420",CARDINAL,12,17
59,"Seat posted 3,420 registrations compared with 5522 registrations in July a year earlier .",5522,DATE,46,50
59,"Seat posted 3,420 registrations compared with 5522 registrations in July a year earlier .",July a year earlier,DATE,68,87
60,Porsche 's registrations fell to 554 from 643 .,Porsche,ORG,0,7
60,Porsche 's registrations fell to 554 from 643 .,554,CARDINAL,33,36
60,Porsche 's registrations fell to 554 from 643 .,643,CARDINAL,42,45
62,GREEK SOCIALISTS GIVE GREEN LIGHT TO PM FOR ELECTIONS .,ELECTIONS,ORG,44,53
63,ATHENS 1996-08-22,1996-08-22,DATE,7,17
64,"The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .",Greek,NORP,4,9
64,"The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .",Costas Simitis,PERSON,85,99
64,"The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .",Costas Skandalidis,PERSON,147,165
65,"Prime Minister Costas Simitis is going to make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .",Costas Simitis,PERSON,15,29
65,"Prime Minister Costas Simitis is going to make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .",Thursday,DATE,105,113
65,"Prime Minister Costas Simitis is going to make an official announcement after a cabinet meeting later on Thursday , said Skandalidis .",Skandalidis,PERSON,121,132
66,"-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4",Dimitris Kontogiannis,PERSON,3,24
66,"-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4",Athens Newsroom,ORG,27,42
66,"-- Dimitris Kontogiannis , Athens Newsroom +301 3311812-4",3311812-4,DATE,48,57
68,BayerVB sets C$ 100 million six-year bond .,C$ 100 million,MONEY,13,27
68,BayerVB sets C$ 100 million six-year bond .,six-year,DATE,28,36
69,LONDON 1996-08-22,LONDON,GPE,0,6
69,LONDON 1996-08-22,1996-08-22,DATE,7,17
70,The following bond was announced by lead manager Toronto Dominion .,Toronto Dominion,PERSON,49,65
72,AMT C$ 100 MLN COUPON 6.625 MATURITY 24.SEP.02,100,MONEY,7,10
72,AMT C$ 100 MLN COUPON 6.625 MATURITY 24.SEP.02,6.625,CARDINAL,22,27
73,TYPE STRAIGHT ISS PRICE 100.92 PAY DATE 24.SEP.96,100.92,CARDINAL,24,30
74,FULL FEES 1.875 REOFFER 99.32 SPREAD +20 BP,1.875,CARDINAL,10,15
74,FULL FEES 1.875 REOFFER 99.32 SPREAD +20 BP,99.32,CARDINAL,24,29
74,FULL FEES 1.875 REOFFER 99.32 SPREAD +20 BP,SPREAD +20 BP,ORG,30,43
75,MOODY AA1 LISTING LUX PAY FREQ =,MOODY AA1 LISTING LUX,ORG,0,21
76,S&P = DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / CA,S&P,ORG,0,3
76,S&P = DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / CA,US,GPE,40,42
76,S&P = DENOMS ( K ) 1-10-100 SALE LIMITS US / UK / CA,UK,GPE,45,47
77,NEG PLG NO CRS DEFLT NO FORCE MAJ =,NEG,ORG,0,3
78,GOV LAW GERMAN HOME CTRY = TAX PROVS STANDARD,GOV LAW GERMAN HOME CTRY,PERSON,0,24
79,MGT / UND 0.275 SELL CONC 1.60 PRAECIP =,0.275,CARDINAL,10,15
79,MGT / UND 0.275 SELL CONC 1.60 PRAECIP =,1.60,CARDINAL,26,30
80,UNDERLYING GOVT BOND 7.0 PCT SEPT 2001,UNDERLYING GOVT,ORG,0,15
80,UNDERLYING GOVT BOND 7.0 PCT SEPT 2001,7.0,CARDINAL,21,24
80,UNDERLYING GOVT BOND 7.0 PCT SEPT 2001,SEPT 2001,DATE,29,38
82,-- London Newsroom +44 171 542 7658,London Newsroom,ORG,3,18
82,-- London Newsroom +44 171 542 7658,171 542,CARDINAL,23,30
